file,change_number,code_churn,owner_number,pre-release defect
core-cube/src/main/java/org/apache/kylin/cube/kv/CubeDimEncMap.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/FuzzyKeyEncoder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/FuzzyMaskEncoder.java,1,2,1,1
core-cube/src/main/java/org/apache/kylin/cube/kv/LazyRowKeyEncoder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/RowConstants.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/RowKeyColumnIO.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/kv/RowKeyDecoder.java,1,10,1,1
core-cube/src/main/java/org/apache/kylin/cube/kv/RowKeyEncoder.java,1,4,1,1
core-cube/src/main/java/org/apache/kylin/cube/kv/RowKeyEncoderProvider.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/AggregationGroup.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/CubeBuildTypeEnum.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/CubeDesc.java,3,149,2,1
core-cube/src/main/java/org/apache/kylin/cube/model/CubeJoinedFlatTableDesc.java,1,13,1,1
core-cube/src/main/java/org/apache/kylin/cube/model/CubeJoinedFlatTableEnrich.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/DictionaryDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/DimensionDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/HBaseColumnDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/HBaseColumnFamilyDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/HBaseMappingDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/HierarchyDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/RowKeyColDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/RowKeyDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/SelectRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/SnapshotTableDesc.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/TooManyCuboidException.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/CubeMetadataValidator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/IValidatorRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/ResultLevel.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/rule/AggregationGroupRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/rule/DictionaryRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/rule/FunctionRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/rule/RowKeyAttrRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/rule/StreamingCubeRule.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/SourceTableMetadataValidator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/model/validation/ValidateContext.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/RawQueryLastHacker.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/upgrade/common/CubeMetadataUpgrade.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/upgrade/common/MetadataVersionRefresher.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/cube/util/CubingUtils.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/benchmark/GTScannerBenchmark.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/benchmark/GTScannerBenchmark2.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/benchmark/SortedGTRecordGenerator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/DefaultGTComparator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/EmptyGTScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GridTable.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTAggregateScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTBuilder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTFilterScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTForwardingScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTFunctionScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTInfo.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTRecord.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTRowBlock.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTSampleCodeSystem.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTScanRange.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTScanRequest.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTScanRequestBuilder.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTStreamAggregateScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/GTUtil.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTBypassChecker.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTCodeSystem.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTComparator.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTScanner.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTStorage.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTStore.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/IGTWriter.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/memstore/GTSimpleMemStore.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/StorageLimitLevel.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/StorageSideBehavior.java,0,0,0,0
core-cube/src/main/java/org/apache/kylin/gridtable/UnitTestSupport.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/AppendTrieDictionary.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/BuiltInFunctionTransformer.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/ByteComparator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/BytesConverter.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/CacheDictionary.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DateStrDictionary.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictCodeSystem.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictionaryGenerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictionaryInfo.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictionaryInfoSerializer.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictionaryManager.java,1,37,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/DictionaryProvider.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DictionarySerializer.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/DistinctColumnValuesProvider.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/AppendDictNode.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/AppendDictSlice.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/AppendDictSliceKey.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/AppendTrieDictionaryBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/AppendTrieDictionaryChecker.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/GlobalDictHDFSStore.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/GlobalDictMetadata.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/GlobalDictStore.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/global/SegmentAppendTrieDictBuilder.java,1,4,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/GlobalDictionaryBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/IDictionaryBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/IDictionaryValueEnumerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/IterableDictionaryValueEnumerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/AbstractLookupRowEncoder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/cache/RocksDBLookupBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/cache/RocksDBLookupRowEncoder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/cache/RocksDBLookupTable.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/cache/RocksDBLookupTableCache.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/ExtTableSnapshotInfo.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/ExtTableSnapshotInfoManager.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/IExtLookupProvider.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/IExtLookupTableCache.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/ILookupTable.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/LookupProviderFactory.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/LookupStringTable.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/LookupTable.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotCLI.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotManager.java,1,6,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotTable.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/lookup/SnapshotTableSerializer.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/MultipleDictionaryValueEnumerator.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/Number2BytesConverter.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/NumberDictionary.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/NumberDictionary2.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/NumberDictionaryBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/NumberDictionaryForestBuilder.java,0,0,0,0
core-dictionary/src/main/java/org/apache/kylin/dict/ShrunkenDictionary.java,1,159,1,1
core-dictionary/src/main/java/org/apache/kylin/dict/ShrunkenDictionaryBuilder.java,1,49,1,1
